"contrast","Treatment","estimate","SE","df","t.ratio","p.value","feature","note"
"Pre - Mid Post","S",-4.25883072733405,0.478758761712616,1424.07458909893,-8.89556717896787,6.49905324567496e-18,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",-3.18261833080168,0.37357204980917,1410.85490340364,-8.51942304684583,7.12018350356326e-17,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",-3.30796587881495,0.389261759209779,1439.32101484995,-8.4980499639376,7.12018350356326e-17,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",-2.23175348228258,0.251547266434804,1385.74507162668,-8.87210389487975,6.49905324567496e-18,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",1.07621239653237,0.361137945763527,1476.66181453593,2.98005903050982,0.00351483671157613,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",0.795230620663837,0.554202781543698,1338.0316922903,1.43490911115381,0.227320033315461,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",0.844100804616095,0.685635432922532,542.86986188305,1.23112191127302,0.262572434601292,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",4.64586613122208,0.458955874096169,154.181873161733,10.1226858472425,5.2448833517798e-18,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",0.0488701839522574,0.703068154577891,1201.798355685,0.0695098812740255,0.944595331178637,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",3.85063551055825,0.58952189463333,107.097140136445,6.53179389198642,0.00000000673721789655978,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",3.80176532660599,0.724162605903278,99.0000942237736,5.24987799095742,0.00000174111924222879,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",-1.26604016083817,0.851206437556187,1471.29680557982,-1.48734796281966,0.320644055010523,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",-1.45592038224159,1.03646623258322,1475.68877508598,-1.40469639672964,0.320644055010523,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",-1.90411801895291,0.809159577707926,1473.65817178045,-2.35320457349912,0.11245910738196,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",-0.189880221403419,0.842923855472747,1476.55132722716,-0.22526378885899,0.82180523989096,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",-0.638077858114733,0.545246340510992,1469.05220821851,-1.17025610390478,0.363131595952988,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",-0.448197636711315,0.781516279443974,1474.44868468933,-0.573497505426495,0.679674416238231,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",-4.44015626170309,1.20389579093809,1453.98594932887,-3.68815664538812,0.00140522115934532,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",-1.56029726342665,1.5027209579139,1097.8937671918,-1.03831470188097,0.3592226192726,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",-1.25378034755342,1.0169292458107,578.890522432823,-1.23290814254624,0.32716570676474,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",2.87985899827644,1.52911001317235,1421.38980153522,1.88335631410965,0.119712229626941,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",3.18637591414967,1.31318708728369,450.915252111692,2.42644475033686,0.0469160274294234,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",0.306516915873227,1.61739201698073,418.894504934473,0.189513063410204,0.849782509850554,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",-0.00667121254378456,0.00432320310705396,1376.06783800291,-1.54311800269098,0.184548106330284,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",0.00507504181798622,0.00529907881282292,1249.72360569521,0.957721520522667,0.406066123423183,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",-0.00667211589254527,0.0041288511083465,1243.11832326549,-1.61597396405444,0.184548106330284,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",0.0117462543617708,0.00430601104536749,1316.95318239207,2.72787371839366,0.0193773691601018,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",-0.000000903348760711298,0.00277623850645373,1213.19697698699,-0.000325385862421887,0.999740433142354,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",-0.0117471577105315,0.00399966678936164,1477.83572596084,-2.93703409038391,0.0193773691601018,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",0.0296577514616147,0.00609134246974654,1223.47606745795,4.86883664954218,0.00000380776613422363,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",0.0490575037763543,0.00740446563611932,329.673261861184,6.62539421306104,0.000000000846905687026494,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",0.0196510565146949,0.00483309579760612,67.3139057644353,4.06593565234695,0.000255384927523186,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",0.0193997523147396,0.00770756891377541,1007.82567663821,2.51697422777073,0.014389192637071,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",-0.0100066949469198,0.0061397172998532,44.2387268214794,-1.62982991857932,0.110238284350812,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",-0.0294064472616593,0.00751058719349024,41.6598342459832,-3.91533265030825,0.000492413124857167,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",0.00228819096459179,0.000898109812527844,1364.6056269776,2.54778528491008,0.0164246796177636,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",-0.000561524588571603,0.00110332627170745,1129.00592430265,-0.508937929759089,0.73307421079133,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",0.00228366851817689,0.000858495317531541,1148.00643104938,2.66008267202109,0.015841979649077,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",-0.00284971555316339,0.000896225461328126,1231.74611677405,-3.17968600104305,0.00453325156497878,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",-0.00000452244641489623,0.000576698829591653,1132.88520438069,-0.00784195525088627,0.993744469759282,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",0.0028451931067485,0.000833348617110573,1475.4058328113,3.41416911041802,0.00394263821457088,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",-0.00474251175993228,0.00126298195727944,1209.10649915555,-3.75501148895904,0.00108945725000845,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",-0.00388840503562824,0.00151840040471193,305.552943751489,-2.56085616386934,0.0218434504159494,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",-0.000330201067950189,0.000973061586453262,55.8922676250017,-0.339342414238904,0.735623571398186,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",0.000854106724304038,0.00159531340649662,980.050335085912,0.535384909840188,0.711006221616286,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
