"contrast","Treatment","estimate","SE","df","t.ratio","p.value","feature","note"
"Early Post - Mid Post","U",3.53386678405491,4.77776350180101,1473.60797986191,0.739648746264397,0.45963096501468,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",-9.5052074984727,4.12978484046528,1088.4547399502,-2.30162293331528,0.0258535222247993,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",-13.0390742825276,5.09012685657349,1053.6381020638,-2.56164033823414,0.0158342050046945,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",-4.53322752196463,1.71341732652523,1474.90859193126,-2.64572293730559,0.0123574476885145,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",-4.6269394216819,2.08587675474238,1477.42560708934,-2.21822282220761,0.0320294480444661,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",-14.4160286340897,1.62849774624921,1476.4811249308,-8.8523479183763,7.20207287651823e-18,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",-0.0937118997172695,1.69640410008543,1477.72708909995,-0.0552414956510364,0.955953538136162,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",-9.88280111212503,1.0974304283454,1474.00710413888,-9.00540103214142,3.88399455962658e-18,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",-9.78908921240776,1.57267879277965,1474.14854217487,-6.22446824955651,0.00000000125713201913306,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",-9.90636842562225,2.42358043968645,1464.73839033615,-4.08749314171882,0.000275832762479658,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",-7.71586391842956,3.02788981428373,1210.54842381689,-2.54826443222301,0.0328461185729237,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",-4.54829518456324,2.05123282146727,741.923856584495,-2.21734711777368,0.0538033802124787,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",2.19050450719269,3.07864475994771,1444.24268261991,0.711515838296945,0.476879543212652,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",5.35807324105902,2.65020319539063,601.817928436308,2.02175940711945,0.0654648420604097,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",3.16756873386633,3.26502407957176,563.752832802927,0.970151722213879,0.39886429137464,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",-21.3016394882092,3.79146546129377,1477.31796035308,-5.61831294671492,0.0000000345144752001041,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",-25.2211237045251,4.61364096919669,1476.35473471772,-5.46664204538578,0.0000000645285813028286,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",-58.7019288126973,3.6023348471414,1476.769583084,-16.2955225717786,2.99343420857245e-54,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",-3.91948421631584,3.75227266648433,1476.20019729043,-1.04456273962312,0.296396125014815,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",-37.4002893244881,2.42796542695531,1477.31522496299,-15.4039628856612,2.74724353187439e-49,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
