"contrast","Stage","estimate","SE","df","t.ratio","p.value","feature","note"
"S - U","Late Post",-17.0503105201957,4.13961948704604,5.54686512008029,-4.11881105825079,0.00736505428111716,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-19.2274843581395,7.46666751380847,6.63872617422351,-2.57510922008796,0.0384494468568046,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",13.5415181431882,7.53365640302435,6.83080741095346,1.79746957105079,0.116364470228106,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",5.90613193025647,8.22945994759896,9.57083715510862,0.717681593672456,0.49009955588908,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",0.933010687147124,7.19660538703587,5.59727160101172,0.129645942353303,0.901378825157694,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"S - U","Pre",0.943975728717553,3.6725594023729,8.39645784033255,0.257034842814969,0.803338949870328,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",-4.42916517494007,3.72732052417023,8.69681539043978,-1.18829736971067,0.266152150849734,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",-2.14494876803011,4.29271756066162,14.5226721643576,-0.499671533875505,0.624791396312399,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",10.811709178244,3.43580070991736,5.93114544147332,3.14678006411612,0.0202061999766095,"gfcc_4_std","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-0.814505734732307,13.0494955796866,6.00937722322725,-0.0624166451307281,0.952255298551707,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",4.03679244388879,13.1283689782371,6.13735718433775,0.307486211773952,0.768641065142677,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",4.34713080159116,13.9538026744784,7.7787449003825,0.311537356733737,0.763577647661319,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",13.2985111087736,12.7395146972561,5.40622061348815,1.04387894082322,0.340953335349643,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-59.6099263447643,25.6251884505152,5.34542134734586,-2.32622392065046,0.0641848844666631,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",38.5975327582381,25.6839185963505,5.39243792238502,1.50278987271524,0.189027672656714,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",32.8771699070486,26.3064709185175,5.92899763820827,1.24977500816751,0.258450663458964,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",-12.6829278898209,25.4005793932375,5.15407698725383,-0.499316479890911,0.638138712160969,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",9.49290561329593,2.49887664873298,22.7107983232829,3.798869231144,0.000941815147144678,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",1.51192263011744,2.56060446983405,20.6890186631263,0.590455358462847,0.56128041879347,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",3.66526115971987,3.3233132304601,39.2695359223271,1.10289368035658,0.276786575421353,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
